nodes,techs,costs,timesteps,cost_operation_variable
region1,region1_to_region2,monetary,2005-01-04 22:00:00,0.0
region1,region1_to_region2,monetary,2005-01-04 23:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 00:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 01:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 02:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 03:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 04:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 05:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 06:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 07:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 08:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 09:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 10:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 11:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 12:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 13:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 14:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 15:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 16:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 17:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 18:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 19:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 20:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 21:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 22:00:00,0.0
region1,region1_to_region2,monetary,2005-01-05 23:00:00,0.0
region1_1,csp,monetary,2005-01-01 00:00:00,0.0
region1_1,csp,monetary,2005-01-01 01:00:00,0.0
region1_1,csp,monetary,2005-01-01 02:00:00,0.0
region1_1,csp,monetary,2005-01-01 03:00:00,0.0
region1_1,csp,monetary,2005-01-01 04:00:00,0.0
region1_1,csp,monetary,2005-01-01 05:00:00,0.0
region1_1,csp,monetary,2005-01-01 06:00:00,0.0
region1_1,csp,monetary,2005-01-01 07:00:00,1.97705364
region1_1,csp,monetary,2005-01-01 08:00:00,18.0
region1_1,csp,monetary,2005-01-01 09:00:00,18.0
region1_1,csp,monetary,2005-01-01 10:00:00,18.0
region1_1,csp,monetary,2005-01-01 11:00:00,18.0
region1_1,csp,monetary,2005-01-01 12:00:00,18.0
region1_1,csp,monetary,2005-01-01 13:00:00,18.0
region1_1,csp,monetary,2005-01-01 14:00:00,18.0
region1_1,csp,monetary,2005-01-01 15:00:00,18.0
region1_1,csp,monetary,2005-01-01 16:00:00,18.0
region1_1,csp,monetary,2005-01-01 17:00:00,18.0
region1_1,csp,monetary,2005-01-01 18:00:00,18.0
region1_1,csp,monetary,2005-01-01 19:00:00,18.0
region1_1,csp,monetary,2005-01-01 20:00:00,18.0
region1_1,csp,monetary,2005-01-01 21:00:00,18.0
region1_1,csp,monetary,2005-01-01 22:00:00,13.7023644
region1_1,csp,monetary,2005-01-01 23:00:00,0.0
region1_1,csp,monetary,2005-01-02 00:00:00,0.0
region1_1,csp,monetary,2005-01-02 01:00:00,0.0
region1_1,csp,monetary,2005-01-02 02:00:00,0.0
region1_1,csp,monetary,2005-01-02 03:00:00,0.0
region1_1,csp,monetary,2005-01-02 04:00:00,0.0
region1_1,csp,monetary,2005-01-02 05:00:00,3.6980988000000004
region1_1,csp,monetary,2005-01-02 06:00:00,7.331999
region1_1,csp,monetary,2005-01-02 07:00:00,9.784769
region1_1,csp,monetary,2005-01-02 08:00:00,18.0
region1_1,csp,monetary,2005-01-02 09:00:00,18.0
region1_1,csp,monetary,2005-01-02 10:00:00,18.0
region1_1,csp,monetary,2005-01-02 11:00:00,18.0
region1_1,csp,monetary,2005-01-02 12:00:00,18.0
region1_1,csp,monetary,2005-01-02 13:00:00,18.0
region1_1,csp,monetary,2005-01-02 14:00:00,18.0
region1_1,csp,monetary,2005-01-02 15:00:00,18.0
