techs,color
battery,#3B61E3
ccgt,#E37A72
csp,#F9CF22
demand_power,#072486
region1_to_region1_1,#6783E3
region1_to_region1_2,#6783E3
region1_to_region1_3,#6783E3
region1_to_region2,#8465A9
