timesteps,nodes,techs,source_use_max
2005-01-02 12:00:00,region1_2,csp,0.0
2005-01-02 12:00:00,region1_3,csp,0.285821
2005-01-02 13:00:00,region1_1,csp,0.44711
2005-01-02 13:00:00,region1_2,csp,0.0
2005-01-02 13:00:00,region1_3,csp,0.211211
2005-01-02 14:00:00,region1_1,csp,0.298619
2005-01-02 14:00:00,region1_2,csp,0.0
2005-01-02 14:00:00,region1_3,csp,0.113541
2005-01-02 15:00:00,region1_1,csp,0.064904
2005-01-02 15:00:00,region1_2,csp,0.0
2005-01-02 15:00:00,region1_3,csp,0.0
2005-01-02 16:00:00,region1_1,csp,0.0
2005-01-02 16:00:00,region1_2,csp,0.0
2005-01-02 16:00:00,region1_3,csp,0.0
2005-01-02 17:00:00,region1_1,csp,0.0
2005-01-02 17:00:00,region1_2,csp,0.0
2005-01-02 17:00:00,region1_3,csp,0.0
2005-01-02 18:00:00,region1_1,csp,0.0
2005-01-02 18:00:00,region1_2,csp,0.0
2005-01-02 18:00:00,region1_3,csp,0.0
2005-01-02 19:00:00,region1_1,csp,0.0
2005-01-02 19:00:00,region1_2,csp,0.0
2005-01-02 19:00:00,region1_3,csp,0.0
2005-01-02 20:00:00,region1_1,csp,0.0
2005-01-02 20:00:00,region1_2,csp,0.0
2005-01-02 20:00:00,region1_3,csp,0.0
2005-01-02 21:00:00,region1_1,csp,0.0
2005-01-02 21:00:00,region1_2,csp,0.0
2005-01-02 21:00:00,region1_3,csp,0.0
2005-01-02 22:00:00,region1_1,csp,0.0
2005-01-02 22:00:00,region1_2,csp,0.0
2005-01-02 22:00:00,region1_3,csp,0.0
2005-01-02 23:00:00,region1_1,csp,0.0
2005-01-02 23:00:00,region1_2,csp,0.0
2005-01-02 23:00:00,region1_3,csp,0.0
2005-01-03 00:00:00,region1_1,csp,0.0
2005-01-03 00:00:00,region1_2,csp,0.0
2005-01-03 00:00:00,region1_3,csp,0.0
2005-01-03 01:00:00,region1_1,csp,0.0
2005-01-03 01:00:00,region1_2,csp,0.0
2005-01-03 01:00:00,region1_3,csp,0.0
2005-01-03 02:00:00,region1_1,csp,0.0
2005-01-03 02:00:00,region1_2,csp,0.0
2005-01-03 02:00:00,region1_3,csp,0.0
2005-01-03 03:00:00,region1_1,csp,0.0
2005-01-03 03:00:00,region1_2,csp,0.0
2005-01-03 03:00:00,region1_3,csp,0.0
2005-01-03 04:00:00,region1_1,csp,0.0
2005-01-03 04:00:00,region1_2,csp,0.0
2005-01-03 04:00:00,region1_3,csp,0.0
2005-01-03 05:00:00,region1_1,csp,0.0
2005-01-03 05:00:00,region1_2,csp,0.0
2005-01-03 05:00:00,region1_3,csp,0.0
2005-01-03 06:00:00,region1_1,csp,0.0
2005-01-03 06:00:00,region1_2,csp,0.0
2005-01-03 06:00:00,region1_3,csp,0.0
2005-01-03 07:00:00,region1_1,csp,0.023159
2005-01-03 07:00:00,region1_2,csp,0.063446
2005-01-03 07:00:00,region1_3,csp,0.0
2005-01-03 08:00:00,region1_1,csp,0.263962
2005-01-03 08:00:00,region1_2,csp,0.2094239999999999
2005-01-03 08:00:00,region1_3,csp,0.0
2005-01-03 09:00:00,region1_1,csp,0.433093
2005-01-03 09:00:00,region1_2,csp,0.235748
2005-01-03 09:00:00,region1_3,csp,0.0272709999999999
2005-01-03 10:00:00,region1_1,csp,0.5173770000000001
2005-01-03 10:00:00,region1_2,csp,0.22675
2005-01-03 10:00:00,region1_3,csp,0.177088
2005-01-03 11:00:00,region1_1,csp,0.52825
2005-01-03 11:00:00,region1_2,csp,0.064664
2005-01-03 11:00:00,region1_3,csp,0.274942
2005-01-03 12:00:00,region1_1,csp,0.517085
2005-01-03 12:00:00,region1_2,csp,0.007796
2005-01-03 12:00:00,region1_3,csp,0.298652
2005-01-03 13:00:00,region1_1,csp,0.453117
2005-01-03 13:00:00,region1_2,csp,0.0
2005-01-03 13:00:00,region1_3,csp,0.242008
2005-01-03 14:00:00,region1_1,csp,0.3085489999999999
2005-01-03 14:00:00,region1_2,csp,0.0
2005-01-03 14:00:00,region1_3,csp,0.111134
2005-01-03 15:00:00,region1_1,csp,0.072015
2005-01-03 15:00:00,region1_2,csp,0.0
2005-01-03 15:00:00,region1_3,csp,0.0
2005-01-03 16:00:00,region1_1,csp,0.0
2005-01-03 16:00:00,region1_2,csp,0.0
2005-01-03 16:00:00,region1_3,csp,0.0
2005-01-03 17:00:00,region1_1,csp,0.0
2005-01-03 17:00:00,region1_2,csp,0.0
2005-01-03 17:00:00,region1_3,csp,0.0
2005-01-03 18:00:00,region1_1,csp,0.0
2005-01-03 18:00:00,region1_2,csp,0.0
2005-01-03 18:00:00,region1_3,csp,0.0
2005-01-03 19:00:00,region1_1,csp,0.0
2005-01-03 19:00:00,region1_2,csp,0.0
2005-01-03 19:00:00,region1_3,csp,0.0
2005-01-03 20:00:00,region1_1,csp,0.0
2005-01-03 20:00:00,region1_2,csp,0.0
2005-01-03 20:00:00,region1_3,csp,0.0
2005-01-03 21:00:00,region1_1,csp,0.0
2005-01-03 21:00:00,region1_2,csp,0.0
2005-01-03 21:00:00,region1_3,csp,0.0
2005-01-03 22:00:00,region1_1,csp,0.0
2005-01-03 22:00:00,region1_2,csp,0.0
2005-01-03 22:00:00,region1_3,csp,0.0
2005-01-03 23:00:00,region1_1,csp,0.0
2005-01-03 23:00:00,region1_2,csp,0.0
2005-01-03 23:00:00,region1_3,csp,0.0
2005-01-04 00:00:00,region1_1,csp,0.0
2005-01-04 00:00:00,region1_2,csp,0.0
2005-01-04 00:00:00,region1_3,csp,0.0
2005-01-04 01:00:00,region1_1,csp,0.0
2005-01-04 01:00:00,region1_2,csp,0.0
2005-01-04 01:00:00,region1_3,csp,0.0
2005-01-04 02:00:00,region1_1,csp,0.0
2005-01-04 02:00:00,region1_2,csp,0.0
2005-01-04 02:00:00,region1_3,csp,0.0
2005-01-04 03:00:00,region1_1,csp,0.0
2005-01-04 03:00:00,region1_2,csp,0.0
2005-01-04 03:00:00,region1_3,csp,0.0
2005-01-04 04:00:00,region1_1,csp,0.0
2005-01-04 04:00:00,region1_2,csp,0.0
2005-01-04 04:00:00,region1_3,csp,0.0
2005-01-04 05:00:00,region1_1,csp,0.0
2005-01-04 05:00:00,region1_2,csp,0.0
2005-01-04 05:00:00,region1_3,csp,0.0
2005-01-04 06:00:00,region1_1,csp,0.0
2005-01-04 06:00:00,region1_2,csp,0.0
2005-01-04 06:00:00,region1_3,csp,0.0
2005-01-04 07:00:00,region1_1,csp,0.019292
2005-01-04 07:00:00,region1_2,csp,0.092428
2005-01-04 07:00:00,region1_3,csp,0.0
2005-01-04 08:00:00,region1_1,csp,0.256401
2005-01-04 08:00:00,region1_2,csp,0.139391
2005-01-04 08:00:00,region1_3,csp,0.0
2005-01-04 09:00:00,region1_1,csp,0.41748
