nodes,techs,carriers,timesteps,capacity_factor
region1,ccgt,power,2005-01-05 15:00:00,1.0
region1,ccgt,power,2005-01-05 16:00:00,1.0
region1,ccgt,power,2005-01-05 17:00:00,1.0
region1,ccgt,power,2005-01-05 18:00:00,1.0
region1,ccgt,power,2005-01-05 19:00:00,0.9853768333333334
region1,ccgt,power,2005-01-05 20:00:00,0.9236426666666666
region1,ccgt,power,2005-01-05 21:00:00,0.8411376
region1,ccgt,power,2005-01-05 22:00:00,0.7680834666666667
region1,ccgt,power,2005-01-05 23:00:00,0.7611510333333333
region1,region1_to_region1_1,power,2005-01-01 00:00:00,0.0
region1,region1_to_region1_1,power,2005-01-01 01:00:00,0.0
region1,region1_to_region1_1,power,2005-01-01 02:00:00,0.0
region1,region1_to_region1_1,power,2005-01-01 03:00:00,0.0
region1,region1_to_region1_1,power,2005-01-01 04:00:00,0.0
region1,region1_to_region1_1,power,2005-01-01 05:00:00,0.0
region1,region1_to_region1_1,power,2005-01-01 06:00:00,0.0
region1,region1_to_region1_1,power,2005-01-01 07:00:00,0.10983631333333334
region1,region1_to_region1_1,power,2005-01-01 08:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 09:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 10:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 11:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 12:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 13:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 14:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 15:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 16:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 17:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 18:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 19:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 20:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 21:00:00,1.0
region1,region1_to_region1_1,power,2005-01-01 22:00:00,0.7612424666666667
region1,region1_to_region1_1,power,2005-01-01 23:00:00,0.0
region1,region1_to_region1_1,power,2005-01-02 00:00:00,0.0
region1,region1_to_region1_1,power,2005-01-02 01:00:00,0.0
region1,region1_to_region1_1,power,2005-01-02 02:00:00,0.0
region1,region1_to_region1_1,power,2005-01-02 03:00:00,0.0
region1,region1_to_region1_1,power,2005-01-02 04:00:00,0.0
region1,region1_to_region1_1,power,2005-01-02 05:00:00,0.20544993333333333
region1,region1_to_region1_1,power,2005-01-02 06:00:00,0.4073332777777778
region1,region1_to_region1_1,power,2005-01-02 07:00:00,0.5435982777777778
region1,region1_to_region1_1,power,2005-01-02 08:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 09:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 10:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 11:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 12:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 13:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 14:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 15:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 16:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 17:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 18:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 19:00:00,1.0
region1,region1_to_region1_1,power,2005-01-02 20:00:00,0.5878915
region1,region1_to_region1_1,power,2005-01-02 21:00:00,0.3266435555555555
region1,region1_to_region1_1,power,2005-01-02 22:00:00,0.09927555555555556
region1,region1_to_region1_1,power,2005-01-02 23:00:00,0.0
region1,region1_to_region1_1,power,2005-01-03 00:00:00,0.0
region1,region1_to_region1_1,power,2005-01-03 01:00:00,0.0
region1,region1_to_region1_1,power,2005-01-03 02:00:00,0.0
region1,region1_to_region1_1,power,2005-01-03 03:00:00,0.0
region1,region1_to_region1_1,power,2005-01-03 04:00:00,0.1785823777777778
region1,region1_to_region1_1,power,2005-01-03 05:00:00,0.4967761555555555
region1,region1_to_region1_1,power,2005-01-03 06:00:00,0.7143839444444444
region1,region1_to_region1_1,power,2005-01-03 07:00:00,0.8323787222222222
region1,region1_to_region1_1,power,2005-01-03 08:00:00,0.904608
region1,region1_to_region1_1,power,2005-01-03 09:00:00,0.937344
region1,region1_to_region1_1,power,2005-01-03 10:00:00,0.9080790555555556
region1,region1_to_region1_1,power,2005-01-03 11:00:00,0.8739528333333333
region1,region1_to_region1_1,power,2005-01-03 12:00:00,0.8572552666666667
region1,region1_to_region1_1,power,2005-01-03 13:00:00,0.8899174333333334
region1,region1_to_region1_1,power,2005-01-03 14:00:00,0.9918133888888888
region1,region1_to_region1_1,power,2005-01-03 15:00:00,1.0
region1,region1_to_region1_1,power,2005-01-03 16:00:00,1.0
region1,region1_to_region1_1,power,2005-01-03 17:00:00,1.0
region1,region1_to_region1_1,power,2005-01-03 18:00:00,1.0
region1,region1_to_region1_1,power,2005-01-03 19:00:00,0.8981378777777778
region1,region1_to_region1_1,power,2005-01-03 20:00:00,0.7015743222222222
region1,region1_to_region1_1,power,2005-01-03 21:00:00,0.45170765555555553
region1,region1_to_region1_1,power,2005-01-03 22:00:00,0.24467654444444448
region1,region1_to_region1_1,power,2005-01-03 23:00:00,0.1102125488888889
region1,region1_to_region1_1,power,2005-01-04 00:00:00,0.029487215555555554
region1,region1_to_region1_1,power,2005-01-04 01:00:00,0.0
region1,region1_to_region1_1,power,2005-01-04 02:00:00,0.010600104555555556
region1,region1_to_region1_1,power,2005-01-04 03:00:00,0.0714747711111111
region1,region1_to_region1_1,power,2005-01-04 04:00:00,0.2866457666666667
region1,region1_to_region1_1,power,2005-01-04 05:00:00,0.5654374888888889
region1,region1_to_region1_1,power,2005-01-04 06:00:00,0.7863626111111112
region1,region1_to_region1_1,power,2005-01-04 07:00:00,0.9011751666666666
region1,region1_to_region1_1,power,2005-01-04 08:00:00,0.9696142222222223
region1,region1_to_region1_1,power,2005-01-04 09:00:00,1.0
region1,region1_to_region1_1,power,2005-01-04 10:00:00,0.9838347666666666
region1,region1_to_region1_1,power,2005-01-04 11:00:00,0.9484239444444446
region1,region1_to_region1_1,power,2005-01-04 12:00:00,0.9338490444444445
region1,region1_to_region1_1,power,2005-01-04 13:00:00,0.9542001
region1,region1_to_region1_1,power,2005-01-04 14:00:00,1.0
region1,region1_to_region1_1,power,2005-01-04 15:00:00,1.0
region1,region1_to_region1_1,power,2005-01-04 16:00:00,1.0
region1,region1_to_region1_1,power,2005-01-04 17:00:00,1.0
region1,region1_to_region1_1,power,2005-01-04 18:00:00,1.0
region1,region1_to_region1_1,power,2005-01-04 19:00:00,0.9549556555555555
region1,region1_to_region1_1,power,2005-01-04 20:00:00,0.7638978777777777
region1,region1_to_region1_1,power,2005-01-04 21:00:00,0.5039903222222223
region1,region1_to_region1_1,power,2005-01-04 22:00:00,0.28823387777777776
region1,region1_to_region1_1,power,2005-01-04 23:00:00,0.14606854444444445
region1,region1_to_region1_1,power,2005-01-05 00:00:00,0.06713343777777778
region1,region1_to_region1_1,power,2005-01-05 01:00:00,0.03735388222222222
region1,region1_to_region1_1,power,2005-01-05 02:00:00,0.050696104444444445
region1,region1_to_region1_1,power,2005-01-05 03:00:00,0.11597610000000001
region1,region1_to_region1_1,power,2005-01-05 04:00:00,0.36728276666666665
region1,region1_to_region1_1,power,2005-01-05 05:00:00,0.6900626111111111
region1,region1_to_region1_1,power,2005-01-05 06:00:00,0.8472692777777777
region1,region1_to_region1_1,power,2005-01-05 07:00:00,0.9621369444444444
region1,region1_to_region1_1,power,2005-01-05 08:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 09:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 10:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 11:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 12:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 13:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 14:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 15:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 16:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 17:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 18:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 19:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 20:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 21:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 22:00:00,1.0
region1,region1_to_region1_1,power,2005-01-05 23:00:00,0.8887214888888889
region1,region1_to_region1_3,power,2005-01-01 00:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 01:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 02:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 03:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 04:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 05:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 06:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 07:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 08:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 09:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 10:00:00,0.0
region1,region1_to_region1_3,power,2005-01-01 11:00:00,0.0
