nodes,techs,timesteps,storage
region1_3,csp,2005-01-01 08:00:00,0.0
region1_3,csp,2005-01-01 09:00:00,227.74042
region1_3,csp,2005-01-01 10:00:00,1686.1406
region1_3,csp,2005-01-01 11:00:00,3974.7261
region1_3,csp,2005-01-01 12:00:00,6258.7344
region1_3,csp,2005-01-01 13:00:00,8290.1101
region1_3,csp,2005-01-01 14:00:00,9179.9176
region1_3,csp,2005-01-01 15:00:00,9161.5577
region1_3,csp,2005-01-01 16:00:00,9143.2346
region1_3,csp,2005-01-01 17:00:00,9124.9482
region1_3,csp,2005-01-01 18:00:00,9106.6983
region1_3,csp,2005-01-01 19:00:00,9088.4849
region1_3,csp,2005-01-01 20:00:00,9070.3079
region1_3,csp,2005-01-01 21:00:00,9052.1673
region1_3,csp,2005-01-01 22:00:00,9034.0629
region1_3,csp,2005-01-01 23:00:00,9015.9948
region1_3,csp,2005-01-02 00:00:00,8997.9628
region1_3,csp,2005-01-02 01:00:00,8979.9669
region1_3,csp,2005-01-02 02:00:00,8962.007
region1_3,csp,2005-01-02 03:00:00,8944.083
region1_3,csp,2005-01-02 04:00:00,8926.1948
region1_3,csp,2005-01-02 05:00:00,8908.3424
region1_3,csp,2005-01-02 06:00:00,8890.5257
region1_3,csp,2005-01-02 07:00:00,8872.7447
region1_3,csp,2005-01-02 08:00:00,8854.9992
region1_3,csp,2005-01-02 09:00:00,8837.2892
region1_3,csp,2005-01-02 10:00:00,9868.3899
region1_3,csp,2005-01-02 11:00:00,12140.611
region1_3,csp,2005-01-02 12:00:00,14408.287
region1_3,csp,2005-01-02 13:00:00,16171.82
region1_3,csp,2005-01-02 14:00:00,17102.992
region1_3,csp,2005-01-02 15:00:00,17068.786
region1_3,csp,2005-01-02 16:00:00,16850.51
region1_3,csp,2005-01-02 17:00:00,16714.961
region1_3,csp,2005-01-02 18:00:00,16681.531
region1_3,csp,2005-01-02 19:00:00,16648.168
region1_3,csp,2005-01-02 20:00:00,16614.872
region1_3,csp,2005-01-02 21:00:00,16581.642
region1_3,csp,2005-01-02 22:00:00,16548.479
region1_3,csp,2005-01-02 23:00:00,16515.382
region1_3,csp,2005-01-03 00:00:00,16482.351
region1_3,csp,2005-01-03 01:00:00,16449.386
region1_3,csp,2005-01-03 02:00:00,16416.487
region1_3,csp,2005-01-03 03:00:00,16383.654
region1_3,csp,2005-01-03 04:00:00,16350.887
region1_3,csp,2005-01-03 05:00:00,16318.185
region1_3,csp,2005-01-03 06:00:00,16285.549
region1_3,csp,2005-01-03 07:00:00,16252.978
region1_3,csp,2005-01-03 08:00:00,16220.472
region1_3,csp,2005-01-03 09:00:00,16419.454
region1_3,csp,2005-01-03 10:00:00,17889.395
region1_3,csp,2005-01-03 11:00:00,20145.574
region1_3,csp,2005-01-03 12:00:00,22397.24
region1_3,csp,2005-01-03 13:00:00,24406.141
region1_3,csp,2005-01-03 14:00:00,25300.418
region1_3,csp,2005-01-03 15:00:00,24646.325
region1_3,csp,2005-01-03 16:00:00,19835.071
region1_3,csp,2005-01-03 17:00:00,15903.508
region1_3,csp,2005-01-03 18:00:00,15871.701
region1_3,csp,2005-01-03 19:00:00,15839.958
region1_3,csp,2005-01-03 20:00:00,15808.278
region1_3,csp,2005-01-03 21:00:00,15776.661
region1_3,csp,2005-01-03 22:00:00,15745.108
region1_3,csp,2005-01-03 23:00:00,15713.618
region1_3,csp,2005-01-04 00:00:00,15682.191
region1_3,csp,2005-01-04 01:00:00,15650.826
region1_3,csp,2005-01-04 02:00:00,15619.524
region1_3,csp,2005-01-04 03:00:00,15588.285
region1_3,csp,2005-01-04 04:00:00,15557.109
region1_3,csp,2005-01-04 05:00:00,15525.995
region1_3,csp,2005-01-04 06:00:00,15494.943
region1_3,csp,2005-01-04 07:00:00,15463.953
region1_3,csp,2005-01-04 08:00:00,15433.025
region1_3,csp,2005-01-04 09:00:00,15402.159
region1_3,csp,2005-01-04 10:00:00,15638.326
region1_3,csp,2005-01-04 11:00:00,17037.12
region1_3,csp,2005-01-04 12:00:00,19200.52
region1_3,csp,2005-01-04 13:00:00,21262.699
region1_3,csp,2005-01-04 14:00:00,22232.9
region1_3,csp,2005-01-04 15:00:00,20348.675
region1_3,csp,2005-01-04 16:00:00,14172.328
region1_3,csp,2005-01-04 17:00:00,8772.6682
