nodes,techs,carriers,timesteps,flow_in
N1,X1_to_N1,heat,2005-07-01 03:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 04:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 05:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 06:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 07:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 08:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 09:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 10:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 11:00:00,352.29576
N1,X1_to_N1,heat,2005-07-01 12:00:00,313.42093
N1,X1_to_N1,heat,2005-07-01 13:00:00,64.698924
N1,X1_to_N1,heat,2005-07-01 14:00:00,127.2011
N1,X1_to_N1,heat,2005-07-01 15:00:00,462.00871
N1,X1_to_N1,heat,2005-07-01 16:00:00,224.8262
N1,X1_to_N1,heat,2005-07-01 17:00:00,419.44093
N1,X1_to_N1,heat,2005-07-01 18:00:00,106.31348
N1,X1_to_N1,heat,2005-07-01 19:00:00,147.28923
N1,X1_to_N1,heat,2005-07-01 20:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 21:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 22:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 23:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 00:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 01:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 02:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 03:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 04:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 05:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 06:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 07:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 08:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 09:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 10:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 11:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 12:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 13:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 14:00:00,117.22848
N1,X1_to_N1,heat,2005-07-02 15:00:00,460.8573
N1,X1_to_N1,heat,2005-07-02 16:00:00,301.88301
N1,X1_to_N1,heat,2005-07-02 17:00:00,425.60695
N1,X1_to_N1,heat,2005-07-02 18:00:00,118.55038
N1,X1_to_N1,heat,2005-07-02 19:00:00,176.5108
N1,X1_to_N1,heat,2005-07-02 20:00:00,113.97769
N1,X1_to_N1,heat,2005-07-02 21:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 22:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 23:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 00:00:00,92.645984
X1,X1_to_N1,heat,2005-07-01 01:00:00,78.265459
X1,X1_to_N1,heat,2005-07-01 02:00:00,78.669501
X1,X1_to_N1,heat,2005-07-01 03:00:00,78.558418
X1,X1_to_N1,heat,2005-07-01 04:00:00,82.553912
X1,X1_to_N1,heat,2005-07-01 05:00:00,143.42173
X1,X1_to_N1,heat,2005-07-01 06:00:00,175.84048
X1,X1_to_N1,heat,2005-07-01 07:00:00,207.47196
X1,X1_to_N1,heat,2005-07-01 08:00:00,207.54824
X1,X1_to_N1,heat,2005-07-01 09:00:00,207.53745
X1,X1_to_N1,heat,2005-07-01 10:00:00,174.98473
X1,X1_to_N1,heat,2005-07-01 11:00:00,174.44987
X1,X1_to_N1,heat,2005-07-01 12:00:00,167.22586
X1,X1_to_N1,heat,2005-07-01 13:00:00,147.65835
X1,X1_to_N1,heat,2005-07-01 14:00:00,157.14117
X1,X1_to_N1,heat,2005-07-01 15:00:00,569.12593
X1,X1_to_N1,heat,2005-07-01 16:00:00,156.31739
X1,X1_to_N1,heat,2005-07-01 17:00:00,378.08426
X1,X1_to_N1,heat,2005-07-01 18:00:00,207.99617
X1,X1_to_N1,heat,2005-07-01 19:00:00,208.05084
X1,X1_to_N1,heat,2005-07-01 20:00:00,359.57695
X1,X1_to_N1,heat,2005-07-01 21:00:00,183.38679
X1,X1_to_N1,heat,2005-07-01 22:00:00,125.97056
X1,X1_to_N1,heat,2005-07-01 23:00:00,92.830141
X1,X1_to_N1,heat,2005-07-02 00:00:00,99.205396
X1,X1_to_N1,heat,2005-07-02 01:00:00,85.559251
X1,X1_to_N1,heat,2005-07-02 02:00:00,84.089957
X1,X1_to_N1,heat,2005-07-02 03:00:00,85.632874
X1,X1_to_N1,heat,2005-07-02 04:00:00,88.727627
X1,X1_to_N1,heat,2005-07-02 05:00:00,132.6947
X1,X1_to_N1,heat,2005-07-02 06:00:00,169.8163
X1,X1_to_N1,heat,2005-07-02 07:00:00,197.43024
X1,X1_to_N1,heat,2005-07-02 08:00:00,189.92461
X1,X1_to_N1,heat,2005-07-02 09:00:00,182.01616
X1,X1_to_N1,heat,2005-07-02 10:00:00,171.50826
X1,X1_to_N1,heat,2005-07-02 11:00:00,140.00454
X1,X1_to_N1,heat,2005-07-02 12:00:00,127.32579
X1,X1_to_N1,heat,2005-07-02 13:00:00,126.9238
X1,X1_to_N1,heat,2005-07-02 14:00:00,146.70974
X1,X1_to_N1,heat,2005-07-02 15:00:00,432.19369
X1,X1_to_N1,heat,2005-07-02 16:00:00,154.63151
X1,X1_to_N1,heat,2005-07-02 17:00:00,456.21873
X1,X1_to_N1,heat,2005-07-02 18:00:00,207.99554
X1,X1_to_N1,heat,2005-07-02 19:00:00,208.05028
X1,X1_to_N1,heat,2005-07-02 20:00:00,208.12327
X1,X1_to_N1,heat,2005-07-02 21:00:00,175.90178
X1,X1_to_N1,heat,2005-07-02 22:00:00,126.01704
X1,X1_to_N1,heat,2005-07-02 23:00:00,100.17921
X1,X1_to_X2,electricity,2005-07-01 00:00:00,96.475307
X1,X1_to_X2,electricity,2005-07-01 01:00:00,78.531244
X1,X1_to_X2,electricity,2005-07-01 02:00:00,79.056888
X1,X1_to_X2,electricity,2005-07-01 03:00:00,79.056888
X1,X1_to_X2,electricity,2005-07-01 04:00:00,84.419893
X1,X1_to_X2,electricity,2005-07-01 05:00:00,151.56477
X1,X1_to_X2,electricity,2005-07-01 06:00:00,193.43961
X1,X1_to_X2,electricity,2005-07-01 07:00:00,222.24635
X1,X1_to_X2,electricity,2005-07-01 08:00:00,219.12358
X1,X1_to_X2,electricity,2005-07-01 09:00:00,225.42306
