nodes,techs,timesteps,source_use
X1,supply_grid_power,2005-07-02 03:00:00,0.0
X1,supply_grid_power,2005-07-02 04:00:00,0.0
X1,supply_grid_power,2005-07-02 05:00:00,0.0
X1,supply_grid_power,2005-07-02 06:00:00,0.0
X1,supply_grid_power,2005-07-02 07:00:00,0.0
X1,supply_grid_power,2005-07-02 08:00:00,0.0
X1,supply_grid_power,2005-07-02 09:00:00,0.0
X1,supply_grid_power,2005-07-02 10:00:00,0.0
X1,supply_grid_power,2005-07-02 11:00:00,0.0
X1,supply_grid_power,2005-07-02 12:00:00,0.0
X1,supply_grid_power,2005-07-02 13:00:00,0.0
X1,supply_grid_power,2005-07-02 14:00:00,0.0
X1,supply_grid_power,2005-07-02 15:00:00,0.0
X1,supply_grid_power,2005-07-02 16:00:00,0.0
X1,supply_grid_power,2005-07-02 17:00:00,4.1183352
X1,supply_grid_power,2005-07-02 18:00:00,8.9687892
X1,supply_grid_power,2005-07-02 19:00:00,33.620147
X1,supply_grid_power,2005-07-02 20:00:00,9.927841
X1,supply_grid_power,2005-07-02 21:00:00,0.0
X1,supply_grid_power,2005-07-02 22:00:00,0.0
X1,supply_grid_power,2005-07-02 23:00:00,0.0
X2,pv,2005-07-01 00:00:00,0.0
X2,pv,2005-07-01 01:00:00,0.0
X2,pv,2005-07-01 02:00:00,0.0
X2,pv,2005-07-01 03:00:00,0.0
X2,pv,2005-07-01 04:00:00,0.0
X2,pv,2005-07-01 05:00:00,3.482023
X2,pv,2005-07-01 06:00:00,12.91514
X2,pv,2005-07-01 07:00:00,24.627399
X2,pv,2005-07-01 08:00:00,34.75692
X2,pv,2005-07-01 09:00:00,42.54399
X2,pv,2005-07-01 10:00:00,47.925298
X2,pv,2005-07-01 11:00:00,47.67206
X2,pv,2005-07-01 12:00:00,39.884991
X2,pv,2005-07-01 13:00:00,31.528135
X2,pv,2005-07-01 14:00:00,28.552588
X2,pv,2005-07-01 15:00:00,22.474876
X2,pv,2005-07-01 16:00:00,17.093568
X2,pv,2005-07-01 17:00:00,11.648949
X2,pv,2005-07-01 18:00:00,4.3050467
X2,pv,2005-07-01 19:00:00,0.0
X2,pv,2005-07-01 20:00:00,0.0
X2,pv,2005-07-01 21:00:00,0.0
X2,pv,2005-07-01 22:00:00,0.0
X2,pv,2005-07-01 23:00:00,0.0
X2,pv,2005-07-02 00:00:00,0.0
X2,pv,2005-07-02 01:00:00,0.0
X2,pv,2005-07-02 02:00:00,0.0
X2,pv,2005-07-02 03:00:00,0.0
X2,pv,2005-07-02 04:00:00,0.0
X2,pv,2005-07-02 05:00:00,3.6086419
X2,pv,2005-07-02 06:00:00,12.725211
X2,pv,2005-07-02 07:00:00,21.525233
X2,pv,2005-07-02 08:00:00,30.198636
X2,pv,2005-07-02 09:00:00,39.9483
X2,pv,2005-07-02 10:00:00,47.67206
X2,pv,2005-07-02 11:00:00,49.318107
X2,pv,2005-07-02 12:00:00,45.582846
X2,pv,2005-07-02 13:00:00,36.213039
X2,pv,2005-07-02 14:00:00,25.640351
X2,pv,2005-07-02 15:00:00,18.233138
X2,pv,2005-07-02 16:00:00,11.965497
X2,pv,2005-07-02 17:00:00,6.5208795
X2,pv,2005-07-02 18:00:00,2.7223088
X2,pv,2005-07-02 19:00:00,0.37985712
X2,pv,2005-07-02 20:00:00,0.0
X2,pv,2005-07-02 21:00:00,0.0
X2,pv,2005-07-02 22:00:00,0.0
X2,pv,2005-07-02 23:00:00,0.0
X2,supply_gas,2005-07-01 00:00:00,0.0
X2,supply_gas,2005-07-01 01:00:00,4.8052305
X2,supply_gas,2005-07-01 02:00:00,11.306472
X2,supply_gas,2005-07-01 03:00:00,43.611046
X2,supply_gas,2005-07-01 04:00:00,62.559369
X2,supply_gas,2005-07-01 05:00:00,61.050965
X2,supply_gas,2005-07-01 06:00:00,145.23685
X2,supply_gas,2005-07-01 07:00:00,226.85938
X2,supply_gas,2005-07-01 08:00:00,97.960299
X2,supply_gas,2005-07-01 09:00:00,16.773432
X2,supply_gas,2005-07-01 10:00:00,0.0
X2,supply_gas,2005-07-01 11:00:00,0.0
X2,supply_gas,2005-07-01 12:00:00,0.0
X2,supply_gas,2005-07-01 13:00:00,0.0
X2,supply_gas,2005-07-01 14:00:00,0.0
X2,supply_gas,2005-07-01 15:00:00,0.0
X2,supply_gas,2005-07-01 16:00:00,0.0
X2,supply_gas,2005-07-01 17:00:00,0.0
X2,supply_gas,2005-07-01 18:00:00,0.0
X2,supply_gas,2005-07-01 19:00:00,0.0
X2,supply_gas,2005-07-01 20:00:00,0.0
X2,supply_gas,2005-07-01 21:00:00,101.24333
X2,supply_gas,2005-07-01 22:00:00,55.478351
X2,supply_gas,2005-07-01 23:00:00,22.610468
X2,supply_gas,2005-07-02 00:00:00,0.0
X2,supply_gas,2005-07-02 01:00:00,18.027177
X2,supply_gas,2005-07-02 02:00:00,23.577177
X2,supply_gas,2005-07-02 03:00:00,40.563676
X2,supply_gas,2005-07-02 04:00:00,60.166816
X2,supply_gas,2005-07-02 05:00:00,55.169512
X2,supply_gas,2005-07-02 06:00:00,125.34129
X2,supply_gas,2005-07-02 07:00:00,215.20415
X2,supply_gas,2005-07-02 08:00:00,99.995542
X2,supply_gas,2005-07-02 09:00:00,38.252701
X2,supply_gas,2005-07-02 10:00:00,0.0
X2,supply_gas,2005-07-02 11:00:00,0.0
X2,supply_gas,2005-07-02 12:00:00,0.0
X2,supply_gas,2005-07-02 13:00:00,0.0
X2,supply_gas,2005-07-02 14:00:00,0.0
X2,supply_gas,2005-07-02 15:00:00,0.0
X2,supply_gas,2005-07-02 16:00:00,0.0
X2,supply_gas,2005-07-02 17:00:00,0.0
X2,supply_gas,2005-07-02 18:00:00,0.0
X2,supply_gas,2005-07-02 19:00:00,0.0
X2,supply_gas,2005-07-02 20:00:00,0.0
X2,supply_gas,2005-07-02 21:00:00,105.63477
X2,supply_gas,2005-07-02 22:00:00,41.552015
X2,supply_gas,2005-07-02 23:00:00,1.0442145
X3,pv,2005-07-01 00:00:00,0.0
X3,pv,2005-07-01 01:00:00,0.0
X3,pv,2005-07-01 02:00:00,0.0
X3,pv,2005-07-01 03:00:00,0.0
X3,pv,2005-07-01 04:00:00,0.0
X3,pv,2005-07-01 05:00:00,2.7500001
X3,pv,2005-07-01 06:00:00,10.2
X3,pv,2005-07-01 07:00:00,19.45
X3,pv,2005-07-01 08:00:00,27.45
X3,pv,2005-07-01 09:00:00,33.6
X3,pv,2005-07-01 10:00:00,37.85
X3,pv,2005-07-01 11:00:00,37.65
X3,pv,2005-07-01 12:00:00,31.5
X3,pv,2005-07-01 13:00:00,24.9
X3,pv,2005-07-01 14:00:00,22.55
X3,pv,2005-07-01 15:00:00,17.75
X3,pv,2005-07-01 16:00:00,13.5
X3,pv,2005-07-01 17:00:00,9.1999999
X3,pv,2005-07-01 18:00:00,3.4000001
X3,pv,2005-07-01 19:00:00,0.0
X3,pv,2005-07-01 20:00:00,0.0
X3,pv,2005-07-01 21:00:00,0.0
X3,pv,2005-07-01 22:00:00,0.0
X3,pv,2005-07-01 23:00:00,0.0
X3,pv,2005-07-02 00:00:00,0.0
X3,pv,2005-07-02 01:00:00,0.0
X3,pv,2005-07-02 02:00:00,0.0
X3,pv,2005-07-02 03:00:00,0.0
X3,pv,2005-07-02 04:00:00,0.0
X3,pv,2005-07-02 05:00:00,2.8499999
X3,pv,2005-07-02 06:00:00,10.05
X3,pv,2005-07-02 07:00:00,17.0
X3,pv,2005-07-02 08:00:00,23.85
X3,pv,2005-07-02 09:00:00,31.55
X3,pv,2005-07-02 10:00:00,37.65
X3,pv,2005-07-02 11:00:00,38.95
X3,pv,2005-07-02 12:00:00,36.0
X3,pv,2005-07-02 13:00:00,28.6
X3,pv,2005-07-02 14:00:00,20.25
X3,pv,2005-07-02 15:00:00,14.4
X3,pv,2005-07-02 16:00:00,9.45
X3,pv,2005-07-02 17:00:00,5.1500001
X3,pv,2005-07-02 18:00:00,2.1499999
X3,pv,2005-07-02 19:00:00,0.30000005
X3,pv,2005-07-02 20:00:00,0.0
X3,pv,2005-07-02 21:00:00,0.0
X3,pv,2005-07-02 22:00:00,0.0
X3,pv,2005-07-02 23:00:00,0.0
X3,supply_gas,2005-07-01 00:00:00,0.0
X3,supply_gas,2005-07-01 01:00:00,0.018352941
X3,supply_gas,2005-07-01 02:00:00,0.018352941
X3,supply_gas,2005-07-01 03:00:00,0.018352941
X3,supply_gas,2005-07-01 04:00:00,0.018352941
X3,supply_gas,2005-07-01 05:00:00,0.018352941
X3,supply_gas,2005-07-01 06:00:00,0.018352941
X3,supply_gas,2005-07-01 07:00:00,0.018352941
X3,supply_gas,2005-07-01 08:00:00,0.018352941
X3,supply_gas,2005-07-01 09:00:00,0.018352941
X3,supply_gas,2005-07-01 10:00:00,0.0
X3,supply_gas,2005-07-01 11:00:00,0.0
X3,supply_gas,2005-07-01 12:00:00,0.0
X3,supply_gas,2005-07-01 13:00:00,0.0
X3,supply_gas,2005-07-01 14:00:00,0.0
X3,supply_gas,2005-07-01 15:00:00,0.0
X3,supply_gas,2005-07-01 16:00:00,0.0
X3,supply_gas,2005-07-01 17:00:00,0.0
X3,supply_gas,2005-07-01 18:00:00,0.0
X3,supply_gas,2005-07-01 19:00:00,0.0
X3,supply_gas,2005-07-01 20:00:00,0.0
X3,supply_gas,2005-07-01 21:00:00,0.018352941
X3,supply_gas,2005-07-01 22:00:00,0.018352941
X3,supply_gas,2005-07-01 23:00:00,0.018352941
X3,supply_gas,2005-07-02 00:00:00,0.0
X3,supply_gas,2005-07-02 01:00:00,0.018352941
X3,supply_gas,2005-07-02 02:00:00,0.018352941
X3,supply_gas,2005-07-02 03:00:00,0.018352941
X3,supply_gas,2005-07-02 04:00:00,0.018352941
X3,supply_gas,2005-07-02 05:00:00,0.018352941
X3,supply_gas,2005-07-02 06:00:00,0.018352941
X3,supply_gas,2005-07-02 07:00:00,0.018352941
X3,supply_gas,2005-07-02 08:00:00,0.018352941
X3,supply_gas,2005-07-02 09:00:00,0.018352941
