nodes,techs,carriers,timesteps,flow_out_inc_eff
N1,X1_to_N1,heat,2005-07-01 01:00:00,78.26545855459464
N1,X1_to_N1,heat,2005-07-01 02:00:00,78.66950042987914
N1,X1_to_N1,heat,2005-07-01 03:00:00,78.5584177750805
N1,X1_to_N1,heat,2005-07-01 04:00:00,82.553912776682
N1,X1_to_N1,heat,2005-07-01 05:00:00,143.42173536303713
N1,X1_to_N1,heat,2005-07-01 06:00:00,175.84048281326386
N1,X1_to_N1,heat,2005-07-01 07:00:00,207.47195873160368
N1,X1_to_N1,heat,2005-07-01 08:00:00,207.54823783273488
N1,X1_to_N1,heat,2005-07-01 09:00:00,207.53744870951974
N1,X1_to_N1,heat,2005-07-01 10:00:00,174.98473271633034
N1,X1_to_N1,heat,2005-07-01 11:00:00,526.7456241676359
N1,X1_to_N1,heat,2005-07-01 12:00:00,480.64678635850237
N1,X1_to_N1,heat,2005-07-01 13:00:00,212.35727372342757
N1,X1_to_N1,heat,2005-07-01 14:00:00,284.3422714475969
N1,X1_to_N1,heat,2005-07-01 15:00:00,614.0369783711795
N1,X1_to_N1,heat,2005-07-01 16:00:00,381.14359041790993
N1,X1_to_N1,heat,2005-07-01 17:00:00,614.0369783711795
N1,X1_to_N1,heat,2005-07-01 18:00:00,314.30965457947707
N1,X1_to_N1,heat,2005-07-01 19:00:00,355.3400751867024
N1,X1_to_N1,heat,2005-07-01 20:00:00,196.1722402602876
N1,X1_to_N1,heat,2005-07-01 21:00:00,183.38678399838162
N1,X1_to_N1,heat,2005-07-01 22:00:00,125.97055513410542
N1,X1_to_N1,heat,2005-07-01 23:00:00,92.83014049461387
N1,X1_to_N1,heat,2005-07-02 00:00:00,99.2053956405199
N1,X1_to_N1,heat,2005-07-02 01:00:00,85.55925109998483
N1,X1_to_N1,heat,2005-07-02 02:00:00,84.0899570120872
N1,X1_to_N1,heat,2005-07-02 03:00:00,85.63287391898042
N1,X1_to_N1,heat,2005-07-02 04:00:00,88.72762710092887
N1,X1_to_N1,heat,2005-07-02 05:00:00,132.69470355198166
N1,X1_to_N1,heat,2005-07-02 06:00:00,169.8163003422175
N1,X1_to_N1,heat,2005-07-02 07:00:00,197.43024123805188
N1,X1_to_N1,heat,2005-07-02 08:00:00,189.92460425833207
N1,X1_to_N1,heat,2005-07-02 09:00:00,182.01616615249753
N1,X1_to_N1,heat,2005-07-02 10:00:00,171.50826143394193
N1,X1_to_N1,heat,2005-07-02 11:00:00,140.00453952359277
N1,X1_to_N1,heat,2005-07-02 12:00:00,127.32578769028473
N1,X1_to_N1,heat,2005-07-02 13:00:00,126.92379574841114
N1,X1_to_N1,heat,2005-07-02 14:00:00,263.9382268750316
N1,X1_to_N1,heat,2005-07-02 15:00:00,614.0369783711795
N1,X1_to_N1,heat,2005-07-02 16:00:00,456.51452789156934
N1,X1_to_N1,heat,2005-07-02 17:00:00,614.0369783711795
N1,X1_to_N1,heat,2005-07-02 18:00:00,326.545922891485
N1,X1_to_N1,heat,2005-07-02 19:00:00,384.56107756368107
N1,X1_to_N1,heat,2005-07-02 20:00:00,322.1009551745646
N1,X1_to_N1,heat,2005-07-02 21:00:00,175.9017758222492
N1,X1_to_N1,heat,2005-07-02 22:00:00,126.01704546603955
N1,X1_to_N1,heat,2005-07-02 23:00:00,100.1792057182353
X1,X1_to_N1,heat,2005-07-01 00:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 01:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 02:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 03:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 04:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 05:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 06:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 07:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 08:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 09:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 10:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 11:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 12:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 13:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 14:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 15:00:00,417.0976530285406
X1,X1_to_N1,heat,2005-07-01 16:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 17:00:00,183.48821254572732
X1,X1_to_N1,heat,2005-07-01 18:00:00,0.0
X1,X1_to_N1,heat,2005-07-01 19:00:00,0.0
